
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:54278        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54279        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54283        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54284        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54287        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54288        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54292        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54293        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54307        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54308        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54312        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54313        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54315        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54316        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54338        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54339        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54360        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54361        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54365        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54366        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54367        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54368        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54371        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54372        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:55500        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:63342        0.0.0.0:0              LISTENING
  TCP    192.168.1.100:139      0.0.0.0:0              LISTENING
  TCP    192.168.1.100:53943    50.118.218.36:443      ESTABLISHED
  TCP    192.168.1.100:53944    50.118.218.36:443      ESTABLISHED
  TCP    192.168.1.100:53945    50.118.218.36:443      ESTABLISHED
  TCP    192.168.1.100:53946    50.118.218.36:443      ESTABLISHED
  TCP    192.168.1.100:53947    50.118.218.36:443      ESTABLISHED
  TCP    192.168.1.100:53948    50.118.218.36:443      ESTABLISHED
  TCP    192.168.1.100:53949    50.118.218.36:443      ESTABLISHED
  TCP    192.168.1.100:53950    50.118.218.36:443      ESTABLISHED
  TCP    [::]:80                [::]:0                 LISTENING
  TCP    [::]:135               [::]:0                 LISTENING
  TCP    [::]:445               [::]:0                 LISTENING
  TCP    [::]:1801              [::]:0                 LISTENING
  TCP    [::]:2103              [::]:0                 LISTENING
  TCP    [::]:2105              [::]:0                 LISTENING
  TCP    [::]:2107              [::]:0                 LISTENING
  TCP    [::]:2179              [::]:0                 LISTENING
  TCP    [::]:2841              [::]:0                 LISTENING
  TCP    [::]:2869              [::]:0                 LISTENING
  TCP    [::]:8092              [::]:0                 LISTENING
  TCP    [::]:49152             [::]:0                 LISTENING
  TCP    [::]:49153             [::]:0                 LISTENING
